 WeightLb, HeightIn,HeightFt
127.5,65.75,5.4791666667
163.75,67.75,5.6458333333
241.25,71.5,5.9583333333
157.75,67.5,5.625
196,73,6.0833333333
184,74,6.1666666667
145.25,69.25,5.7708333333
188.15,77.5,6.4583333333
168,69.25,5.7708333333
148.75,70,5.8333333333
183.5,67.5,5.625
156.75,67.25,5.6041666667
134.25,67,5.5833333333
160.75,73.75,6.1458333333
199.25,71.75,5.9791666667
203.25,74.25,6.1875
178.75,68.5,5.7083333333
177,69.25,5.7708333333
170.75,70,5.8333333333
198.5,73.5,6.125
165.5,68.5,5.7083333333
125.75,65.5,5.4583333333
183.75,67.75,5.6458333333
166,65.5,5.4583333333
211.75,73.5,6.125
159.75,70.75,5.8958333333
171.75,71.5,5.9583333333
219,64,5.3333333333
146,72.25,6.0208333333
125.25,68,5.6666666667
162.5,69.5,5.7916666667
209.25,71,5.9166666667
152.25,67.75,5.6458333333
167.75,68.5,5.7083333333
187.5,72.25,6.0208333333
191,74,6.1666666667
176.75,71,5.9166666667
184.75,72.25,6.0208333333
161,66.5,5.5416666667
247.25,73.5,6.125
192.5,71.75,5.9791666667
158,69.25,5.7708333333
191.5,72.25,6.0208333333
185,68.25,5.6875
162.5,66.5,5.5416666667
176.25,71.5,5.9583333333
165.25,69.75,5.8125
160.25,68.75,5.7291666667
230,72.25,6.0208333333
180,68.25,5.6875
148,67.5,5.625
155.25,69.5,5.7916666667
232.75,74.25,6.1875
200.5,69.75,5.8125
154.75,71.5,5.9583333333
187.75,69.5,5.7916666667
161.75,67.5,5.625
223,69.75,5.8125
197,72,6
206.5,69.75,5.8125
227.75,72.75,6.0625
171.25,69.25,5.7708333333
179,68,5.6666666667
163,70.25,5.8541666667
154.5,70,5.8333333333
196.75,68.25,5.6875
157,66.75,5.5625
137.25,67.75,5.6458333333
177.5,68.75,5.7291666667
168,71.5,5.9583333333
148.5,71.25,5.9375
193.5,70.5,5.875
151,67,5.5833333333
241.75,74.5,6.2083333333
153.25,70.5,5.875
217,73.75,6.1458333333
187.75,74,6.1666666667
180.5,69.5,5.7916666667
151.5,70.75,5.8958333333
185.25,71.5,5.9583333333
176.75,72.5,6.0416666667
126.5,66.75,5.5625
151.5,66.75,5.5625
125,64,5.3333333333
150.25,67.25,5.6041666667
152.75,73.5,6.125
216,73.25,6.1041666667
201,69.75,5.8125
206.5,74.5,6.2083333333
179.75,65.75,5.4791666667
166.75,70.75,5.8958333333
199.5,68.5,5.7083333333
188.75,73.25,6.1041666667
186.75,66,5.5
168.25,71.25,5.9375
173.75,72,6
139.25,69,5.75
207.5,70,5.8333333333
162.75,66,5.5
140.5,68,5.6666666667
