FreedomScore,LogGDP
70.1,4.907910942
80.3,4.76052049
87.8,4.753866369
88.6,4.666424373
81.6,4.632821582
73.1,4.582290683
71.7,4.477483016
67.3,4.451648299
74.7,4.397435935
53.9,4.047313816
71.5,3.997866726
63.6,3.942305753
52,3.938619782
63.9,3.8192148
41.9,3.818555779
58.8,3.730943693
63.5,3.639087871
59.9,3.621591676
60.2,3.617629298
59.6,3.596597096
59.4,3.585122186
59.4,3.558708571
51.8,3.503518313
59.5,3.501470072
60.8,3.495266744
63.1,3.475525915
53.2,3.426023016
49.8,3.390405156
54,3.369586891
45.8,3.357744325
47,3.29710365
56.2,3.283979284
46.2,3.228913406
46,3.192288613
55.9,3.18582536
53.3,3.164947373
57.9,3.140508043
48.7,3.099335278
59.6,3.09725731
50.9,2.92890769
51.3,2.903632516
